1,2,3,4,5,6,7,8,9,10
"(997, 141)","(456, 56)","(1106, 214)","(851, 151)","(423, 23)","(710, 197)","(605, 473)","(470, 342)","(994, 503)","(128, 554)"
"(1092, 181)","(489, 67)","(1193, 227)","(836, 236)","(516, 25)","(695, 166)","(592, 508)","(425, 309)","(973, 568)","(133, 437)"
"(1186, 221)","(522, 78)","(1204, 279)","(827, 318)","(610, 27)","(682, 136)","(583, 542)","(379, 278)","(941, 625)","(143, 320)"
"(1208, 288)","(602, 112)","(1185, 328)","(833, 399)","(703, 29)","(664, 110)","(572, 571)","(325, 252)","(908, 678)","(77, 217)"
"(1226, 361)","(698, 70)","(1165, 374)","(858, 477)","(732, 99)","(637, 136)","(563, 603)","(267, 232)","(819, 684)","(30, 188)"
"(1250, 428)","(795, 28)","(1142, 419)","(878, 552)","(759, 165)","(602, 157)","(551, 632)","(224, 244)","(755, 639)","(159, 120)"
"(1232, 495)","(869, 7)","(1114, 463)","(836, 576)","(779, 230)","(570, 178)","(506, 617)","(182, 255)","(708, 589)","(343, 120)"
"(1212, 560)","(907, 72)","(1081, 505)","(777, 508)","(794, 292)","(541, 199)","(461, 602)","(190, 292)","(672, 541)","(514, 137)"
"(1210, 624)","(930, 131)","(1029, 535)","(737, 440)","(787, 356)","(512, 220)","(419, 588)","(199, 325)","(649, 489)","(656, 187)"
"(1137, 660)","(941, 195)","(956, 548)","(760, 415)","(718, 372)","(480, 239)","(374, 577)","(211, 357)","(631, 438)","(787, 131)"
"(1087, 618)","(960, 252)","(888, 539)","(765, 442)","(666, 432)","(455, 260)","(335, 560)","(262, 348)","(619, 388)","(900, 68)"
"(1037, 575)","(1052, 257)","(853, 515)","(771, 468)","(613, 491)","(435, 280)","(296, 550)","(303, 327)","(610, 343)","(1010, 45)"
"(1049, 520)","(1145, 262)","(818, 490)","(776, 495)","(517, 494)","(413, 300)","(260, 536)","(325, 300)","(585, 298)","(986, 125)"
"(1080, 470)","(1186, 309)","(782, 466)","(730, 469)","(449, 458)","(394, 320)","(233, 518)","(340, 275)","(559, 256)","(956, 207)"
"(1110, 421)","(1228, 355)","(747, 441)","(431, 192)","(393, 419)","(372, 336)","(208, 501)","(335, 258)","(525, 218)","(941, 284)"
"(1156, 387)","(1232, 404)","(712, 417)","(379, 141)","(341, 380)","(352, 354)","(185, 482)","(356, 237)","(470, 188)","(1045, 312)"
"(1171, 433)","(1213, 449)","(676, 392)","(333, 94)","(289, 343)","(333, 371)","(159, 464)","(378, 215)","(402, 198)","(1071, 380)"
"(1152, 474)","(1198, 494)","(641, 368)","(271, 79)","(219, 325)","(315, 388)","(138, 452)","(399, 194)","(354, 222)","(1032, 447)"
"(1132, 515)","(1186, 536)","(606, 344)","(252, 126)","(583, 329)","(302, 402)","(116, 436)","(437, 196)","(318, 252)","(991, 507)"
"(1101, 555)","(1172, 577)","(571, 319)","(246, 172)","(554, 305)","(298, 416)","(94, 421)","(470, 209)","(298, 286)","(935, 568)"
"(1046, 576)","(1135, 609)","(536, 295)","(246, 214)","(525, 282)","(302, 436)","(91, 409)","(496, 222)","(281, 319)","(859, 608)"
"(1073, 620)","(1114, 577)","(500, 270)","(247, 256)","(148, 477)","(307, 454)","(117, 398)","(504, 242)","(264, 342)","(818, 575)"
"(1013, 625)","(1093, 544)","(465, 246)","(252, 295)","(165, 509)","(313, 467)","(138, 389)","(504, 260)","(249, 370)","(828, 521)"
"(953, 630)","(1072, 512)","(436, 231)","(263, 331)","(190, 539)","(318, 479)","(156, 381)","(505, 279)","(240, 398)","(851, 473)"
"(901, 618)","(1051, 479)","(413, 213)","(290, 351)","(239, 556)","(322, 491)","(174, 372)","(503, 296)","(236, 424)","(875, 424)"
"(856, 606)","(1030, 447)","(390, 196)","(317, 370)","(285, 559)","(330, 507)","(193, 364)","(503, 314)","(237, 448)","(898, 382)"
"(828, 583)","(1059, 424)","(370, 179)","(344, 390)","(336, 556)","(334, 516)","(211, 356)","(502, 329)","(253, 467)","(925, 342)"
"(788, 572)","(1081, 437)","(357, 163)","(371, 409)","(380, 549)","(338, 526)","(226, 347)","(497, 343)","(268, 487)","(950, 304)"
"(748, 577)","(1104, 449)","(345, 148)","(398, 429)","(422, 545)","(341, 536)","(246, 343)","(487, 355)","(284, 506)","(976, 269)"
"(720, 593)","(1126, 462)","(333, 134)","(436, 416)","(458, 537)","(345, 545)","(259, 336)","(471, 363)","(313, 514)","(997, 238)"
"(704, 611)","(1149, 474)","(322, 123)","(469, 402)","(494, 534)","(347, 552)","(271, 331)","(480, 366)","(342, 514)","(1021, 209)"
"(691, 628)","(1171, 487)","(325, 123)","(495, 402)","(524, 541)","(349, 558)","(285, 325)","(489, 369)","(369, 509)","(1047, 185)"
"(676, 644)","(1176, 505)","(332, 128)","(522, 401)","(546, 552)","(352, 569)","(293, 321)","(505, 372)","(392, 503)","(1086, 166)"
"(651, 650)","(1179, 521)","(326, 118)","(548, 401)","(560, 568)","(512, 369)","(305, 316)","(356, 573)","(415, 502)","(1120, 152)"
"(626, 657)","(1180, 535)","(333, 110)","(566, 414)","(566, 580)","(512, 369)","(315, 313)","(357, 578)","(435, 495)","(1159, 148)"
"(605, 665)","(1183, 547)","(342, 102)","(578, 427)","(574, 590)","(512, 369)","(322, 309)","(358, 585)","(454, 496)","(1197, 151)"
"(588, 668)","(1187, 559)","(348, 94)","(589, 438)","(577, 603)","(512, 369)","(330, 306)","(360, 588)","(471, 494)","(1231, 155)"
"(571, 672)","(1197, 568)","(354, 89)","(602, 448)","(580, 614)","(512, 369)","(338, 303)","(362, 592)","(487, 491)","(1235, 163)"
"(555, 676)","(1213, 568)","(359, 80)","(608, 454)","(593, 620)","(512, 369)","(344, 301)","(364, 597)","(500, 492)","(1225, 176)"
"(543, 677)","(1230, 568)","(363, 78)","(614, 460)","(601, 626)","(512, 369)","(347, 300)","(364, 600)","(512, 488)","(1214, 187)"
"(532, 678)","(1241, 566)","(368, 74)","(620, 466)","(616, 628)","(512, 369)","(353, 296)","(366, 603)","(522, 489)","(1207, 196)"
"(518, 677)","(1250, 571)","(371, 70)","(625, 472)","(625, 631)","(512, 369)","(355, 296)","(367, 605)","(528, 485)","(1202, 206)"
"(510, 676)","(1248, 576)","(373, 68)","(631, 478)","(633, 634)","(512, 369)","(358, 294)","(368, 608)","(535, 483)","(1193, 212)"
"(504, 674)","(1247, 580)","(374, 65)","(637, 484)","(637, 636)","(512, 369)","(361, 293)","(369, 609)","(544, 482)","(1187, 218)"
"(497, 671)","(1247, 582)","(380, 61)","(640, 488)","(639, 638)","(512, 369)","(362, 293)","(369, 609)","(545, 475)","(1183, 223)"
"(494, 671)","(1247, 585)","(379, 60)","(644, 491)","(641, 639)","(512, 369)","(364, 291)","(369, 611)","(552, 480)","(1180, 231)"
"(493, 669)","(1247, 589)","(379, 58)","(647, 493)","(642, 641)","(512, 369)","(367, 290)","(370, 612)","(551, 479)","(1179, 231)"
"(491, 667)","(1247, 588)","(381, 58)","(650, 494)","(644, 642)","(512, 369)","(368, 291)","(370, 613)","(555, 480)","(1179, 234)"
"(490, 668)","(1246, 590)","(381, 57)","(651, 496)","(646, 644)","(512, 369)","(368, 290)","(369, 613)","(554, 482)","(1177, 234)"
"(490, 666)","(1246, 591)","(382, 56)","(650, 496)","(646, 645)","(512, 369)","(368, 290)","(370, 613)","(554, 482)","(1180, 235)"
"(487, 666)","(1246, 591)","(382, 57)","(651, 496)","(646, 646)","(512, 369)","(369, 290)","(369, 614)","(554, 482)","(1180, 236)"
"(491, 666)","(1245, 592)","(382, 58)","(651, 498)","(647, 646)","(512, 369)","(369, 290)","(370, 613)","(556, 482)","(1178, 237)"
"(491, 666)","(1246, 591)","(382, 58)","(656, 498)","(647, 647)","(512, 369)","(369, 291)","(370, 613)","(556, 482)","(1178, 237)"
"(491, 666)","(1246, 591)","(382, 56)","(656, 498)","(647, 647)","(512, 369)","(369, 291)","(370, 613)","(556, 482)","(1178, 237)"
